SPEAKER_TYPE,DEBATE_DATE,DEBATE_TIME_UTC,DEBATE_TIMESTAMP_UTC,DEBATE_NAME,SPEAKER,TEXT,NEG,NEU,POS,COMPOUND,FIRSTMATCH,STARTTIME,LASTMATCH,ENDTIME,SIMPLE,MATCHED,RATIO,CANDIDATE_ID,FEC_CANDIDATE_ID,FEC_COMMITTEE_ID,PARTY,ACTIVE,TWITTER_PRIMARY,TWITTER_ALL,IS_INCUMBENT,NAME_FIRST,NAME_LAST,NAME_FULL
moderator,2019-06-26,01:03:24,2019-06-27 01:03:24.000,NBC 06-26-2019 Night 1,HOLT,Because of this large field not every person will be able to comment on every topic but over the course of the next two hours we will hear from everyone. We'd also like to ask the audience to keep the reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight.,0.039,0.866,0.096,0.5719,307,203.92,349,214.36,because of this large field not every person will be able to comment on every topic but over the course of the next two hours we will hear from everyone we'd also like to ask the audience to keep the reactions to a minimum we are not going to be shy about making sure the candidates stick to time tonight,not going to be shy about making sure the candidates stick to time tonight all right so with that business out of the way we want to get to it and we'll start this evening with senator elizabeth warren senator good evening to,0.42722117202268434,,,,,,,,,,,
moderator,2019-06-26,01:03:42,2019-06-27 01:03:42.000,NBC 06-26-2019 Night 1,GUTHRIE,All right. So with that business out of the way we want to get to it. And we'll start this evening with Senator Elizabeth Warren.,0.0,0.949,0.051,0.0772,366,221.88,380,227.34,all right so with that business out of the way we want to get to it and we'll start this evening with senator elizabeth warren,of student debt new taxes new regulations the break up of major corporations but this,0.35071090047393366,,,,,,,,,,,
moderator,2019-06-26,,,NBC 06-26-2019 Night 1,GUTHRIE,Senator good evening to you.,0.0,0.58,0.42,0.4404,,,,,senator good evening to you,,0.0,,,,,,,,,,,
candidate,2019-06-26,,,NBC 06-26-2019 Night 1,WARREN,Thank you. Good to be here.,0.0,0.426,0.574,0.6597,,,,,thank you good to be here,,0.0,7.00000,P00009621,C00693234,Democrat,TRUE,@SENWARREN,"[
  ""@SENWARREN"",
  ""@EWARREN""
]",FALSE,Elizabeth,Warren,"Warren, Elizabeth"
moderator,2019-06-26,01:03:49,2019-06-27 01:03:49.000,NBC 06-26-2019 Night 1,GUTHRIE,You have many plans  free college free child care government health care cancellation of student debt new taxes new regulations the breakup of major corporations. But this comes at a time when 71 percent of Americans say the economy is doing well including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?,0.09,0.702,0.208,0.8558,387,229.11,461,253.95,you have many plans free college free child care government health care cancellation of student debt new taxes new regulations the breakup of major corporations but this comes at a time when 71 percent of americans say the economy is doing well including 60 percent of democrats what do you say to those who worry this kind of significant change could be risky to the economy,of americans say the economy is doing well including 60% of democrats what do you say to those who worry this kind of significant change could be risky to the economy so i think of it this way who is this economy really working for it's doing great for a thinner and thinner slice at the top it's doing great for giant drug companies this is not doing great for people who are trying to,0.43889618922470436,,,,,,,,,,,
candidate,2019-06-26,01:04:17,2019-06-27 01:04:17.000,NBC 06-26-2019 Night 1,WARREN,So I think of it this way. Who is this economy really working for? It's doing great for a thinner and thinner slice at the top. It's doing great for giant drug companies. It's just not doing great for people who are trying to get a prescription filled.,0.0,0.744,0.256,0.9337,471,257.4,510,271.866,so i think of it this way who is this economy really working for it's doing great for a thinner and thinner slice at the top it's doing great for giant drug companies it's just not doing great for people who are trying to get a prescription filled,who want to invest in private prisons just not for the african americans and latin ex whose families were tauron apart whose lives were destroyed and whose communities are ruined it's doing great for giant oil companies that want to,0.4718162839248434,7.00000,P00009621,C00693234,Democrat,TRUE,@SENWARREN,"[
  ""@SENWARREN"",
  ""@EWARREN""
]",FALSE,Elizabeth,Warren,"Warren, Elizabeth"
candidate,2019-06-26,01:04:34,2019-06-27 01:04:34.000,NBC 06-26-2019 Night 1,WARREN,It's doing great for people who want to invest in private prisons just not for the African-Americans and Latinos whose families are torn apart whose lives are destroyed and whose communities are ruined.,0.199,0.671,0.129,-0.4404,515,273.766,521,274.856,it's doing great for people who want to invest in private prisons just not for the african-americans and latinos whose families are torn apart whose lives are destroyed and whose communities are ruined,for the rest of us who are,0.22026431718061673,7.00000,P00009621,C00693234,Democrat,TRUE,@SENWARREN,"[
  ""@SENWARREN"",
  ""@EWARREN""
]",FALSE,Elizabeth,Warren,"Warren, Elizabeth"
candidate,2019-06-26,01:04:41,2019-06-27 01:04:41.000,NBC 06-26-2019 Night 1,WARREN,It's doing great for giant oil companies that want to drill everywhere just not for the rest of us who are watching climate change bear down upon us.,0.0,0.828,0.172,0.6597,539,281.276,542,282.366,it's doing great for giant oil companies that want to drill everywhere just not for the rest of us who are watching climate change bear down upon us,that does great for,0.19161676646706588,7.00000,P00009621,C00693234,Democrat,TRUE,@SENWARREN,"[
  ""@SENWARREN"",
  ""@EWARREN""
]",FALSE,Elizabeth,Warren,"Warren, Elizabeth"
candidate,2019-06-26,01:04:46,2019-06-27 01:04:46.000,NBC 06-26-2019 Night 1,WARREN,When you've got a government when you've got an economy that does great for those with money and isn't doing great for everyone else that is corruption pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government in our economy and in our country.,0.046,0.832,0.122,0.7269,553,286.496,588,298.016,when you've got a government when you've got an economy that does great for those with money and isn't doing great for everyone else that is corruption pure and simple we need to call it out we need to attack it head on and we need to make structural change in our government in our economy and in our country,that is corruption pure and simple we need to call it out we need to attack it head on and we need to make structural change in our government in our economy and in our country,0.7257731958762886,7.00000,P00009621,C00693234,Democrat,TRUE,@SENWARREN,"[
  ""@SENWARREN"",
  ""@EWARREN""
]",FALSE,Elizabeth,Warren,"Warren, Elizabeth"
moderator,2019-06-26,01:05:03,2019-06-27 01:05:03.000,NBC 06-26-2019 Night 1,GUTHRIE,Senator Klobuchar you've called programs like free college something you might do if you were quote ""a magic genie."" To be blunt are the government programs and benefits that some of your rivals are offering giving your voters people a false sense of what's actually achievable?,0.0,0.753,0.247,0.9022,590,303.466,632,321.956,senator klobuchar you've called programs like free college something you might do if you were quote a magic genie to be blunt are the government programs and benefits that some of your rivals are offering giving your voters people a false sense of what's actually achievable,called programs like free college something you might do if you were quote a magic genie to be blunt are the government programs and benefits that some of your rivals are offering giving your voters people a false sense of what's actually achievable,0.9521988527724665,,,,,,,,,,,
candidate,2019-06-26,01:05:23,2019-06-27 01:05:23.000,NBC 06-26-2019 Night 1,KLOBUCHAR,Well first the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what's going on when you have so many people that are having trouble affording college and having trouble affording their premiums.,0.146,0.814,0.04,-0.684,633,322.596,679,337.236,well first the economy we know that not everyone is sharing in this prosperity and donald trump just sits in the white house and gloats about what's going on when you have so many people that are having trouble affording college and having trouble affording their premiums,well first the economy we know that not everyone is sharing in this prosperity and donald trump just sits in the white house and gloat about what's going on when you have so many people that are having trouble affording college and having trouble affording their premiums,0.998158379373849,12.00000,P80006117,C00696419,Democrat,TRUE,@AMYKLOBUCHAR,"[
  ""@AMYKLOBUCHAR""
]",FALSE,Amy,Klobuchar,"Klobuchar, Amy J."
candidate,2019-06-26,01:05:38,2019-06-27 01:05:38.000,NBC 06-26-2019 Night 1,KLOBUCHAR,So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to first of all make community college free and make sure that everyone else besides that top percentile gets help with their education.,0.0,0.712,0.288,0.9393,680,337.606,732,357.706,so i do get concerned about paying for college for rich kids i do but i think my plan is a good one and my plan would be to first of all make community college free and make sure that everyone else besides that top percentile gets help with their education,so i do get concerned about paying for college for rich kids i do but i think my plan is a good one in my plan would be to first of all make community college free on bond make sure that everyone else besides that top percent how gets help with their education,0.9689922480620154,12.00000,P80006117,C00696419,Democrat,TRUE,@AMYKLOBUCHAR,"[
  ""@AMYKLOBUCHAR""
]",FALSE,Amy,Klobuchar,"Klobuchar, Amy J."
candidate,2019-06-26,01:05:58,2019-06-27 01:05:58.000,NBC 06-26-2019 Night 1,KLOBUCHAR,My own dad and my sister got their first degrees with community college. There's many paths to success as well as certifications.,0.0,0.775,0.225,0.7003,733,358.146,753,366.206,my own dad and my sister got their first degrees with community college there's many paths to success as well as certifications,my own dad and my sister got there first agrees with community colleges many paths to success as well as certifications,0.9512195121951219,12.00000,P80006117,C00696419,Democrat,TRUE,@AMYKLOBUCHAR,"[
  ""@AMYKLOBUCHAR""
]",FALSE,Amy,Klobuchar,"Klobuchar, Amy J."
candidate,2019-06-26,01:06:06,2019-06-27 01:06:06.000,NBC 06-26-2019 Night 1,KLOBUCHAR,Secondly I'd used Pell grants. I'd double them from $6000 to $12000 a year and expand it to the number of families that get covered to families that make up to $100000.,0.0,0.836,0.164,0.5423,754,366.356,799,381.446,secondly i'd used pell grants i'd double them from $6000 to $12000 a year and expand it to the number of families that get covered to families that make up to $100000,"secondly i'd use programs i double them from 6000 to $12,000 a year and expanded to the number of families that get covered up two families that make up to $100,000 and then the third thing i would do is make it easier for students to",0.765,12.00000,P80006117,C00696419,Democrat,TRUE,@AMYKLOBUCHAR,"[
  ""@AMYKLOBUCHAR""
]",FALSE,Amy,Klobuchar,"Klobuchar, Amy J."
candidate,2019-06-26,01:06:24,2019-06-27 01:06:24.000,NBC 06-26-2019 Night 1,KLOBUCHAR,And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this: If billionaires can pay off their yachts students should be able to pay off their student loans.,0.095,0.841,0.064,0.1531,806,383.986,842,397.936,and then the third thing i would do is make it easier for students to pay off their student loans because i can tell you this: if billionaires can pay off their yachts students should be able to pay off their student loans,i can tell you this billionaires contracts their yacht students should be able to pay off their student loans time thank you congressman what we've just been discussing and talking about is how much fundamental change to,0.5113122171945701,12.00000,P80006117,C00696419,Democrat,TRUE,@AMYKLOBUCHAR,"[
  ""@AMYKLOBUCHAR""
]",FALSE,Amy,Klobuchar,"Klobuchar, Amy J."
moderator,2019-06-26,,,NBC 06-26-2019 Night 1,GUTHRIE,That's time thank you.,0.0,0.545,0.455,0.3612,,,,,that's time thank you,,0.0,,,,,,,,,,,
moderator,2019-06-26,01:06:40,2019-06-27 01:06:40.000,NBC 06-26-2019 Night 1,GUTHRIE,Congressman O'Rourke what we've just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein some Democrats want a marginal individual tax rate of 70 percent on the very highest earners those making more than $10 million a year. Would you support that? And if not what would your top individual rate be?,0.0,0.878,0.122,0.755,847,399.566,890,414.546,congressman o'rourke what we've just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable in that vein some democrats want a marginal individual tax rate of 70 percent on the very highest earners those making more than $10 million a year would you support that and if not what would your top individual rate be,"and how much is actually doable in that vein some democrats want a marginal individual tax rate of 70% on the very highest earners those making more than $10,000,000 a year would you support that and if not what would your top individual rate",0.7467948717948718,,,,,,,,,,,
candidate,2019-06-26,01:06:56,2019-06-27 01:06:56.000,NBC 06-26-2019 Night 1,O'ROURKE,This economy has got to work for everyone. And right now we know that it isn't. And it's going to take all of us coming together to make sure that it does.,0.0,0.931,0.069,0.3182,892,416.306,922,426.186,this economy has got to work for everyone and right now we know that it isn't and it's going to take all of us coming together to make sure that it does,this economy has got to work for everyone and right now we know that it isn't and it's gonna take all of us coming together to make sure that it does,0.9767441860465116,11.00000,P00010793,C00699090,Democrat,TRUE,@BETOOROURKE,"[
  ""@BETOOROURKE""
]",FALSE,Beto,O'Rourke,"O'Rourke, Beto"
candidate,2019-06-26,01:07:11,2019-06-27 01:07:11.000,NBC 06-26-2019 Night 1,O'ROURKE,Right now we have a system that favors those who can pay for access and outcomes. That's how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality.,0.082,0.712,0.205,0.8746,932,430.766,951,441.166,right now we have a system that favors those who can pay for access and outcomes that's how you explain an economy that is rigged to corporations and to the very wealthiest a $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality,economy better see melissa said eso necesita almost included cada persona in western democracy gotta gotta gotta vote on this,0.34249471458773784,11.00000,P00010793,C00699090,Democrat,TRUE,@BETOOROURKE,"[
  ""@BETOOROURKE""
]",FALSE,Beto,O'Rourke,"O'Rourke, Beto"
candidate,2019-06-26,01:07:27,2019-06-27 01:07:27.000,NBC 06-26-2019 Night 1,O'ROURKE,A new democracy that is revived because we've returned power to the people no PACs no gerrymandering automatic and same-day voter registration to bring in more voters and a new Voting Rights Act to get rid of the barriers that are in place now,0.099,0.901,0.0,-0.5267,966,447.326,1015,463.256,a new democracy that is revived because we've returned power to the people no pacs no gerrymandering automatic and same-day voter registration to bring in more voters and a new voting rights act to get rid of the barriers that are in place now,a system that favors those who can pay for access and outcomes that's how you explain an economy that is rigged to corporations and the very wealthiest a two trillion dollar tax cut that favorite corporations while they were sitting on record piles of cash and the very wealthiest in,0.44866920152091255,11.00000,P00010793,C00699090,Democrat,TRUE,@BETOOROURKE,"[
  ""@BETOOROURKE""
]",FALSE,Beto,O'Rourke,"O'Rourke, Beto"
moderator,2019-06-26,,,NBC 06-26-2019 Night 1,GUTHRIE,Congressman O'Rourke,0.0,1.0,0.0,0.0,,,,,congressman o'rourke,,0.0,,,,,,,,,,,
candidate,2019-06-26,01:07:44,2019-06-27 01:07:44.000,NBC 06-26-2019 Night 1,O'ROURKE,That's how we each have a voice in our democracy and make this economy work for everybody.,0.0,1.0,0.0,0.0,1019,463.746,1027,468.046,that's how we each have a voice in our democracy and make this economy work for everybody,a time of historic wealth inequality a new democracy,0.36879432624113473,11.00000,P00010793,C00699090,Democrat,TRUE,@BETOOROURKE,"[
  ""@BETOOROURKE""
]",FALSE,Beto,O'Rourke,"O'Rourke, Beto"
moderator,2019-06-26,,,NBC 06-26-2019 Night 1,GUTHRIE,Congressman that's time sir.,0.0,1.0,0.0,0.0,,,,,congressman that's time sir,,0.0,,,,,,,,,,,
moderator,2019-06-26,01:07:50,2019-06-27 01:07:50.000,NBC 06-26-2019 Night 1,GUTHRIE,I'll give you 10 seconds to answer if you want to answer the direct question. Would you support a 70 percent individual marginal tax rate? Yes no or pass?,0.066,0.722,0.212,0.594,1035,470.066,1055,476.536,i'll give you 10 seconds to answer if you want to answer the direct question would you support a 70 percent individual marginal tax rate yes no or pass,to the people know packs no jerry mandarin automatic and same day voter registration to bring in more voters and a,0.41509433962264153,,,,,,,,,,,
candidate,2019-06-26,01:08:01,2019-06-27 01:08:01.000,NBC 06-26-2019 Night 1,O'ROURKE,I would support a tax rate and a tax code that is fair to everyone. Tax capital at the same right,0.0,0.762,0.238,0.6124,1074,480.716,1097,488.746,i would support a tax rate and a tax code that is fair to everyone tax capital at the same right,a voice in our democracy and make this economy work for everyone give you 10 seconds to answer if you want to answer the,0.4444444444444444,11.00000,P00010793,C00699090,Democrat,TRUE,@BETOOROURKE,"[
  ""@BETOOROURKE""
]",FALSE,Beto,O'Rourke,"O'Rourke, Beto"
moderator,2019-06-26,,,NBC 06-26-2019 Night 1,GUTHRIE,Seventy percent?,0.0,1.0,0.0,0.0,,,,,seventy percent,,0.0,,,,,,,,,,,
candidate,2019-06-26,01:08:10,2019-06-27 01:08:10.000,NBC 06-26-2019 Night 1,O'ROURKE, that you  you tax ordinary income. Take that corporate tax rate up to 28 percent. You would generate the revenues,0.0,1.0,0.0,0.0,1101,489.646,1135,499.816,that you you tax ordinary income take that corporate tax rate up to 28 percent you would generate the revenues,you support a 70% individual marginal tax rate yes now our path i would support a tax rate and a tax code that is fair to everyone tax capital at the same rate that you,0.43884892086330934,11.00000,P00010793,C00699090,Democrat,TRUE,@BETOOROURKE,"[
  ""@BETOOROURKE""
]",FALSE,Beto,O'Rourke,"O'Rourke, Beto"
moderator,2019-06-26,,,NBC 06-26-2019 Night 1,GUTHRIE,OK that's time.,0.0,0.405,0.595,0.4466,,,,,ok that's time,,0.0,,,,,,,,,,,
candidate,2019-06-26,01:08:24,2019-06-27 01:08:24.000,NBC 06-26-2019 Night 1,O'ROURKE, you need to pay for the programs we're talking about.,0.135,0.865,0.0,-0.1027,1147,504.026,1160,506.746,you need to pay for the programs we're talking about,you would generate the revenues you need to pay for the programs were talking,0.6976744186046512,11.00000,P00010793,C00699090,Democrat,TRUE,@BETOOROURKE,"[
  ""@BETOOROURKE""
]",FALSE,Beto,O'Rourke,"O'Rourke, Beto"
moderator,2019-06-26,01:08:27,2019-06-27 01:08:27.000,NBC 06-26-2019 Night 1,GUTHRIE,That's time. Thank you.,0.0,0.545,0.455,0.3612,1161,506.756,1164,507.866,that's time thank you,that's time thank you,1.0,,,,,,,,,,,
moderator,2019-06-26,01:08:29,2019-06-27 01:08:29.000,NBC 06-26-2019 Night 1,GUTHRIE,Senator Booker there is a debate in this party right now about the role of corporations as you know. Senator Warren in particular put out a plan to break up tech companies like Facebook Amazon and Google. You've said we should not quote ""be running around pointing at companies and breaking them up without any kind of process."" Why do you disagree?,0.039,0.849,0.111,0.5754,1165,508.696,1225,527.946,senator booker there is a debate in this party right now about the role of corporations as you know senator warren in particular put out a plan to break up tech companies like facebook amazon and google you've said we should not quote be running around pointing at companies and breaking them up without any kind of process why do you disagree,senator booker there is a debate in this party right now about the role corporations as you know senator warren in particular put out a plan to break up tech companies like facebook amazon and google you've said we should not quote be running around pointing it cos and breaking them up without any kind of process why do you disagree,0.983751846381093,,,,,,,,,,,
candidate,2019-06-26,01:08:49,2019-06-27 01:08:49.000,NBC 06-26-2019 Night 1,BOOKER,I don't think I disagree. I think we have a serious problem in our country with corporate consolidation. And you see the evidence of that in how dignity is being stripped from labor and we have people that work full-time jobs and still can't make a living wage.,0.084,0.814,0.102,0.2225,1226,528.576,1274,541.996,i don't think i disagree i think we have a serious problem in our country with corporate consolidation and you see the evidence of that in how dignity is being stripped from labor and we have people that work full-time jobs and still can't make a living wage,i don't think i disagree i think we have a serious problem in our country with corporate consolidation you see the evidence of that in how dignity is being stripped from labor and we have people that work full time jobs and still can't off make a living wage,0.9806201550387597,13.00000,P00009795,C00695510,Democrat,TRUE,@CORYBOOKER,"[
  ""@CORYBOOKER""
]",FALSE,Cory,Booker,"Booker, Cory A."
candidate,2019-06-26,01:09:02,2019-06-27 01:09:02.000,NBC 06-26-2019 Night 1,BOOKER,We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs. And you see that by just the fact that this is actually an economy that's hurting small businesses and not allowing them to compete.,0.06,0.94,0.0,-0.4019,1275,542.216,1318,556.386,we see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs and you see that by just the fact that this is actually an economy that's hurting small businesses and not allowing them to compete,we see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs and you see that by just the fact that this is actually a new economy that's hurting small businesses and not allowing them to compete,0.9941747572815534,13.00000,P00009795,C00695510,Democrat,TRUE,@CORYBOOKER,"[
  ""@CORYBOOKER""
]",FALSE,Cory,Booker,"Booker, Cory A."
candidate,2019-06-26,01:09:17,2019-06-27 01:09:17.000,NBC 06-26-2019 Night 1,BOOKER,One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work.,0.041,0.829,0.13,0.6204,1319,556.906,1396,581.536,one of the most aggressive bills in the senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector so i feel very strongly about the need to check the corporate consolidation and let the free market work,one of most aggressive bills in the senate to deal with corporate consolidations mine about corporate consolidation of the axe sector so i feel very strongly about you need to check the corporate consolidation and let the free market work and i'll tell you this i live in a low income black and brown community i see every single day that this economy is not working for average americans the indicators that are being used from gdp to,0.6814159292035398,13.00000,P00009795,C00695510,Democrat,TRUE,@CORYBOOKER,"[
  ""@CORYBOOKER""
]",FALSE,Cory,Booker,"Booker, Cory A."
candidate,2019-06-26,01:09:45,2019-06-27 01:09:45.000,NBC 06-26-2019 Night 1,BOOKER,And I'll tell you this. I live in a low-income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used from GDP to Wall Street's rankings is not helping people in my community. It is about time that we have an economy that works for everybody not just the wealthiest in our nation.,0.068,0.932,0.0,-0.5448,1404,584.956,1474,606.436,and i'll tell you this i live in a low-income black and brown community i see every single day that this economy is not working for average americans the indicators that are being used from gdp to wall street's rankings is not helping people in my community it is about time that we have an economy that works for everybody not just the wealthiest in our nation,in my community it is about time that we have economy that works for everybody not just the wealthiest in our nation quickly senator booker you did say that you didn't think it was right to name names to name companies and single them out at senator warren has briefly why is that well again i will single out companies like halliburton or amazon that paid nothing in taxes and our,0.4474393530997305,13.00000,P00009795,C00695510,Democrat,TRUE,@CORYBOOKER,"[
  ""@CORYBOOKER""
]",FALSE,Cory,Booker,"Booker, Cory A."
moderator,2019-06-26,01:10:07,2019-06-27 01:10:07.000,NBC 06-26-2019 Night 1,GUTHRIE,But quickly Senator Booker you did say that you didn't think it was right to name names to name companies and single them out as Senator Warren has. Briefly why is that?,0.0,1.0,0.0,0.0,1478,607.076,1495,611.436,but quickly senator booker you did say that you didn't think it was right to name names to name companies and single them out as senator warren has briefly why is that,that and when it comes to antitrust law what i will do is number one appoint judges that,0.39215686274509803,,,,,,,,,,,
