"speaker","text","neg","neu","pos","compound","firstmatch","starttime","lastmatch","endtime","simple","matched","ratio"
"HOLT","Because of this large field not every person will be able to comment on every topic but over the course of the next two hours we will hear from everyone. We'd also like to ask the audience to keep the reactions to a minimum. We are not going to be shy about making sure the candidates stick to time tonight.",0.039,0.866,0.096,0.5719,307,203.92,349,214.36,"because of this large field not every person will be able to comment on every topic but over the course of the next two hours we will hear from everyone we'd also like to ask the audience to keep the reactions to a minimum we are not going to be shy about making sure the candidates stick to time tonight","not going to be shy about making sure the candidates stick to time tonight all right so with that business out of the way we want to get to it and we'll start this evening with senator elizabeth warren senator good evening to",0.42722117202268434
"GUTHRIE","All right. So with that business out of the way we want to get to it. And we'll start this evening with Senator Elizabeth Warren.",0.0,0.949,0.051,0.0772,366,221.88,380,227.34,"all right so with that business out of the way we want to get to it and we'll start this evening with senator elizabeth warren","of student debt new taxes new regulations the break up of major corporations but this",0.35071090047393366
"GUTHRIE","Senator good evening to you.",0.0,0.58,0.42,0.4404,"","","","","senator good evening to you","",0.0
"WARREN","Thank you. Good to be here.",0.0,0.426,0.574,0.6597,"","","","","thank you good to be here","",0.0
"GUTHRIE","You have many plans  free college free child care government health care cancellation of student debt new taxes new regulations the breakup of major corporations. But this comes at a time when 71 percent of Americans say the economy is doing well including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?",0.09,0.702,0.208,0.8558,387,229.11,461,253.95,"you have many plans free college free child care government health care cancellation of student debt new taxes new regulations the breakup of major corporations but this comes at a time when 71 percent of americans say the economy is doing well including 60 percent of democrats what do you say to those who worry this kind of significant change could be risky to the economy","of americans say the economy is doing well including 60% of democrats what do you say to those who worry this kind of significant change could be risky to the economy so i think of it this way who is this economy really working for it's doing great for a thinner and thinner slice at the top it's doing great for giant drug companies this is not doing great for people who are trying to",0.43889618922470436
"WARREN","So I think of it this way. Who is this economy really working for? It's doing great for a thinner and thinner slice at the top. It's doing great for giant drug companies. It's just not doing great for people who are trying to get a prescription filled.",0.0,0.744,0.256,0.9337,471,257.4,510,271.866,"so i think of it this way who is this economy really working for it's doing great for a thinner and thinner slice at the top it's doing great for giant drug companies it's just not doing great for people who are trying to get a prescription filled","who want to invest in private prisons just not for the african americans and latin ex whose families were tauron apart whose lives were destroyed and whose communities are ruined it's doing great for giant oil companies that want to",0.4718162839248434
"WARREN","It's doing great for people who want to invest in private prisons just not for the African-Americans and Latinos whose families are torn apart whose lives are destroyed and whose communities are ruined.",0.199,0.671,0.129,-0.4404,515,273.766,521,274.856,"it's doing great for people who want to invest in private prisons just not for the african-americans and latinos whose families are torn apart whose lives are destroyed and whose communities are ruined","for the rest of us who are",0.22026431718061673
"WARREN","It's doing great for giant oil companies that want to drill everywhere just not for the rest of us who are watching climate change bear down upon us.",0.0,0.828,0.172,0.6597,539,281.276,542,282.366,"it's doing great for giant oil companies that want to drill everywhere just not for the rest of us who are watching climate change bear down upon us","that does great for",0.19161676646706588
"WARREN","When you've got a government when you've got an economy that does great for those with money and isn't doing great for everyone else that is corruption pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government in our economy and in our country.",0.046,0.832,0.122,0.7269,553,286.496,588,298.016,"when you've got a government when you've got an economy that does great for those with money and isn't doing great for everyone else that is corruption pure and simple we need to call it out we need to attack it head on and we need to make structural change in our government in our economy and in our country","that is corruption pure and simple we need to call it out we need to attack it head on and we need to make structural change in our government in our economy and in our country",0.7257731958762886
"GUTHRIE","Senator Klobuchar you've called programs like free college something you might do if you were quote ""a magic genie."" To be blunt are the government programs and benefits that some of your rivals are offering giving your voters people a false sense of what's actually achievable?",0.0,0.753,0.247,0.9022,590,303.466,632,321.956,"senator klobuchar you've called programs like free college something you might do if you were quote a magic genie to be blunt are the government programs and benefits that some of your rivals are offering giving your voters people a false sense of what's actually achievable","called programs like free college something you might do if you were quote a magic genie to be blunt are the government programs and benefits that some of your rivals are offering giving your voters people a false sense of what's actually achievable",0.9521988527724665
"KLOBUCHAR","Well first the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what's going on when you have so many people that are having trouble affording college and having trouble affording their premiums.",0.146,0.814,0.04,-0.684,633,322.596,679,337.236,"well first the economy we know that not everyone is sharing in this prosperity and donald trump just sits in the white house and gloats about what's going on when you have so many people that are having trouble affording college and having trouble affording their premiums","well first the economy we know that not everyone is sharing in this prosperity and donald trump just sits in the white house and gloat about what's going on when you have so many people that are having trouble affording college and having trouble affording their premiums",0.998158379373849
"KLOBUCHAR","So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to first of all make community college free and make sure that everyone else besides that top percentile gets help with their education.",0.0,0.712,0.288,0.9393,680,337.606,732,357.706,"so i do get concerned about paying for college for rich kids i do but i think my plan is a good one and my plan would be to first of all make community college free and make sure that everyone else besides that top percentile gets help with their education","so i do get concerned about paying for college for rich kids i do but i think my plan is a good one in my plan would be to first of all make community college free on bond make sure that everyone else besides that top percent how gets help with their education",0.9689922480620154
"KLOBUCHAR","My own dad and my sister got their first degrees with community college. There's many paths to success as well as certifications.",0.0,0.775,0.225,0.7003,733,358.146,753,366.206,"my own dad and my sister got their first degrees with community college there's many paths to success as well as certifications","my own dad and my sister got there first agrees with community colleges many paths to success as well as certifications",0.9512195121951219
"KLOBUCHAR","Secondly I'd used Pell grants. I'd double them from $6000 to $12000 a year and expand it to the number of families that get covered to families that make up to $100000.",0.0,0.836,0.164,0.5423,754,366.356,799,381.446,"secondly i'd used pell grants i'd double them from $6000 to $12000 a year and expand it to the number of families that get covered to families that make up to $100000","secondly i'd use programs i double them from 6000 to $12,000 a year and expanded to the number of families that get covered up two families that make up to $100,000 and then the third thing i would do is make it easier for students to",0.765
"KLOBUCHAR","And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this: If billionaires can pay off their yachts students should be able to pay off their student loans.",0.095,0.841,0.064,0.1531,806,383.986,842,397.936,"and then the third thing i would do is make it easier for students to pay off their student loans because i can tell you this: if billionaires can pay off their yachts students should be able to pay off their student loans","i can tell you this billionaires contracts their yacht students should be able to pay off their student loans time thank you congressman what we've just been discussing and talking about is how much fundamental change to",0.5113122171945701
"GUTHRIE","That's time thank you.",0.0,0.545,0.455,0.3612,"","","","","that's time thank you","",0.0
"GUTHRIE","Congressman O'Rourke what we've just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein some Democrats want a marginal individual tax rate of 70 percent on the very highest earners those making more than $10 million a year. Would you support that? And if not what would your top individual rate be?",0.0,0.878,0.122,0.755,847,399.566,890,414.546,"congressman o'rourke what we've just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable in that vein some democrats want a marginal individual tax rate of 70 percent on the very highest earners those making more than $10 million a year would you support that and if not what would your top individual rate be","and how much is actually doable in that vein some democrats want a marginal individual tax rate of 70% on the very highest earners those making more than $10,000,000 a year would you support that and if not what would your top individual rate",0.7467948717948718
"O'ROURKE","This economy has got to work for everyone. And right now we know that it isn't. And it's going to take all of us coming together to make sure that it does.",0.0,0.931,0.069,0.3182,892,416.306,922,426.186,"this economy has got to work for everyone and right now we know that it isn't and it's going to take all of us coming together to make sure that it does","this economy has got to work for everyone and right now we know that it isn't and it's gonna take all of us coming together to make sure that it does",0.9767441860465116
"O'ROURKE","Right now we have a system that favors those who can pay for access and outcomes. That's how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality.",0.082,0.712,0.205,0.8746,932,430.766,951,441.166,"right now we have a system that favors those who can pay for access and outcomes that's how you explain an economy that is rigged to corporations and to the very wealthiest a $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality","economy better see melissa said eso necesita almost included cada persona in western democracy gotta gotta gotta vote on this",0.34249471458773784
"O'ROURKE","A new democracy that is revived because we've returned power to the people no PACs no gerrymandering automatic and same-day voter registration to bring in more voters and a new Voting Rights Act to get rid of the barriers that are in place now",0.099,0.901,0.0,-0.5267,966,447.326,1015,463.256,"a new democracy that is revived because we've returned power to the people no pacs no gerrymandering automatic and same-day voter registration to bring in more voters and a new voting rights act to get rid of the barriers that are in place now","a system that favors those who can pay for access and outcomes that's how you explain an economy that is rigged to corporations and the very wealthiest a two trillion dollar tax cut that favorite corporations while they were sitting on record piles of cash and the very wealthiest in",0.44866920152091255
"GUTHRIE","Congressman O'Rourke",0.0,1.0,0.0,0.0,"","","","","congressman o'rourke","",0.0
"O'ROURKE","That's how we each have a voice in our democracy and make this economy work for everybody.",0.0,1.0,0.0,0.0,1019,463.746,1027,468.046,"that's how we each have a voice in our democracy and make this economy work for everybody","a time of historic wealth inequality a new democracy",0.36879432624113473
"GUTHRIE","Congressman that's time sir.",0.0,1.0,0.0,0.0,"","","","","congressman that's time sir","",0.0
"GUTHRIE","I'll give you 10 seconds to answer if you want to answer the direct question. Would you support a 70 percent individual marginal tax rate? Yes no or pass?",0.066,0.722,0.212,0.594,1035,470.066,1055,476.536,"i'll give you 10 seconds to answer if you want to answer the direct question would you support a 70 percent individual marginal tax rate yes no or pass","to the people know packs no jerry mandarin automatic and same day voter registration to bring in more voters and a",0.41509433962264153
"O'ROURKE","I would support a tax rate and a tax code that is fair to everyone. Tax capital at the same right",0.0,0.762,0.238,0.6124,1074,480.716,1097,488.746,"i would support a tax rate and a tax code that is fair to everyone tax capital at the same right","a voice in our democracy and make this economy work for everyone give you 10 seconds to answer if you want to answer the",0.4444444444444444
"GUTHRIE","Seventy percent?",0.0,1.0,0.0,0.0,"","","","","seventy percent","",0.0
"O'ROURKE"," that you  you tax ordinary income. Take that corporate tax rate up to 28 percent. You would generate the revenues",0.0,1.0,0.0,0.0,1101,489.646,1135,499.816,"that you you tax ordinary income take that corporate tax rate up to 28 percent you would generate the revenues","you support a 70% individual marginal tax rate yes now our path i would support a tax rate and a tax code that is fair to everyone tax capital at the same rate that you",0.43884892086330934
"GUTHRIE","OK that's time.",0.0,0.405,0.595,0.4466,"","","","","ok that's time","",0.0
"O'ROURKE"," you need to pay for the programs we're talking about.",0.135,0.865,0.0,-0.1027,1147,504.026,1160,506.746,"you need to pay for the programs we're talking about","you would generate the revenues you need to pay for the programs were talking",0.6976744186046512
"GUTHRIE","That's time. Thank you.",0.0,0.545,0.455,0.3612,1161,506.756,1164,507.866,"that's time thank you","that's time thank you",1.0
"GUTHRIE","Senator Booker there is a debate in this party right now about the role of corporations as you know. Senator Warren in particular put out a plan to break up tech companies like Facebook Amazon and Google. You've said we should not quote ""be running around pointing at companies and breaking them up without any kind of process."" Why do you disagree?",0.039,0.849,0.111,0.5754,1165,508.696,1225,527.946,"senator booker there is a debate in this party right now about the role of corporations as you know senator warren in particular put out a plan to break up tech companies like facebook amazon and google you've said we should not quote be running around pointing at companies and breaking them up without any kind of process why do you disagree","senator booker there is a debate in this party right now about the role corporations as you know senator warren in particular put out a plan to break up tech companies like facebook amazon and google you've said we should not quote be running around pointing it cos and breaking them up without any kind of process why do you disagree",0.983751846381093
"BOOKER","I don't think I disagree. I think we have a serious problem in our country with corporate consolidation. And you see the evidence of that in how dignity is being stripped from labor and we have people that work full-time jobs and still can't make a living wage.",0.084,0.814,0.102,0.2225,1226,528.576,1274,541.996,"i don't think i disagree i think we have a serious problem in our country with corporate consolidation and you see the evidence of that in how dignity is being stripped from labor and we have people that work full-time jobs and still can't make a living wage","i don't think i disagree i think we have a serious problem in our country with corporate consolidation you see the evidence of that in how dignity is being stripped from labor and we have people that work full time jobs and still can't off make a living wage",0.9806201550387597
"BOOKER","We see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs. And you see that by just the fact that this is actually an economy that's hurting small businesses and not allowing them to compete.",0.06,0.94,0.0,-0.4019,1275,542.216,1318,556.386,"we see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs and you see that by just the fact that this is actually an economy that's hurting small businesses and not allowing them to compete","we see that because consumer prices are being raised by pharmaceutical companies that often have monopolistic holds on drugs and you see that by just the fact that this is actually a new economy that's hurting small businesses and not allowing them to compete",0.9941747572815534
"BOOKER","One of the most aggressive bills in the Senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector. So I feel very strongly about the need to check the corporate consolidation and let the free market work.",0.041,0.829,0.13,0.6204,1319,556.906,1396,581.536,"one of the most aggressive bills in the senate to deal with corporate consolidation is mine about corporate consolidation in the ag sector so i feel very strongly about the need to check the corporate consolidation and let the free market work","one of most aggressive bills in the senate to deal with corporate consolidations mine about corporate consolidation of the axe sector so i feel very strongly about you need to check the corporate consolidation and let the free market work and i'll tell you this i live in a low income black and brown community i see every single day that this economy is not working for average americans the indicators that are being used from gdp to",0.6814159292035398
"BOOKER","And I'll tell you this. I live in a low-income black and brown community. I see every single day that this economy is not working for average Americans. The indicators that are being used from GDP to Wall Street's rankings is not helping people in my community. It is about time that we have an economy that works for everybody not just the wealthiest in our nation.",0.068,0.932,0.0,-0.5448,1404,584.956,1474,606.436,"and i'll tell you this i live in a low-income black and brown community i see every single day that this economy is not working for average americans the indicators that are being used from gdp to wall street's rankings is not helping people in my community it is about time that we have an economy that works for everybody not just the wealthiest in our nation","in my community it is about time that we have economy that works for everybody not just the wealthiest in our nation quickly senator booker you did say that you didn't think it was right to name names to name companies and single them out at senator warren has briefly why is that well again i will single out companies like halliburton or amazon that paid nothing in taxes and our",0.4474393530997305
"GUTHRIE","But quickly Senator Booker you did say that you didn't think it was right to name names to name companies and single them out as Senator Warren has. Briefly why is that?",0.0,1.0,0.0,0.0,1478,607.076,1495,611.436,"but quickly senator booker you did say that you didn't think it was right to name names to name companies and single them out as senator warren has briefly why is that","that and when it comes to antitrust law what i will do is number one appoint judges that",0.39215686274509803
"BOOKER","Well again I will single out companies like Halliburton or Amazon that pay nothing in taxes and our need to change that. And when it comes to antitrust law what I will do is number one appoint judges that will enforce it number two have a DOJ and a Federal Trade Commission that will go through the processes necessary to check this kind of corporate concentration.",0.021,0.845,0.134,0.6705,1496,611.436,1554,628.746,"well again i will single out companies like halliburton or amazon that pay nothing in taxes and our need to change that and when it comes to antitrust law what i will do is number one appoint judges that will enforce it number two have a doj and a federal trade commission that will go through the processes necessary to check this kind of corporate concentration","will enforce it number two have a doj and a federal trade commission that will go through the process is necessary to check this kind of corporate concentration at the end of the day we have too much of a problem with corporate power growing we see that with everything from citizens united and the way they're trying to",0.46266471449487556
"BOOKER","At the end of the day we have too much of a problem with corporate power growing. We see that with everything from Citizens United and the way they're trying to influence Washington. It's about time that we have a president that fights for the people in this country",0.102,0.813,0.085,-0.2263,1568,632.916,1615,651.486,"at the end of the day we have too much of a problem with corporate power growing we see that with everything from citizens united and the way they're trying to influence washington it's about time that we have a president that fights for the people in this country","the people in this country we have someone that's a champion for them thank you senator senator warren i mentioned you are you picking winners and losers so the way i understand this is there is way too much consolidation now in giant industries in this country that",0.47547169811320755
"GUTHRIE","That's time sir.",0.0,1.0,0.0,0.0,"","","","","that's time sir","",0.0
"BOOKER","We need to have someone that's a champion for them.",0.0,0.672,0.328,0.5994,"","","","","we need to have someone that's a champion for them","",0.0
"GUTHRIE","Thank you Senator. Senator Warren I mentioned you",0.0,0.706,0.294,0.3612,"","","","","thank you senator senator warren i mentioned you","",0.0
"GUTHRIE","Are you picking winners and losers?",0.324,0.381,0.295,-0.0772,"","","","","are you picking winners and losers","",0.0
"WARREN","So the way I understand this it's there is way too much consolidation now in giant industries in this country. That hurts workers. It hurts small businesses. It hurts independent farmers. It hurts our economy overall.",0.286,0.714,0.0,-0.9081,1616,651.486,1641,662.356,"so the way i understand this it's there is way too much consolidation now in giant industries in this country that hurts workers it hurts small businesses it hurts independent farmers it hurts our economy overall","hurts workers it hurt small businesses it hurts independent farmers it hurts our economy overall and it helps constrict riel innovation and growth in this economy",0.5133689839572193
"WARREN","And it helps constrict real innovation and growth in this economy.",0.0,0.506,0.494,0.7783,"","","","","and it helps constrict real innovation and growth in this economy","",0.0
"WARREN","Now look we've had the laws out there for a long time to be able to fight back. What's been missing is courage courage in Washington to take on the giants. That's part of the corruption in this system.",0.106,0.752,0.142,0.3818,1642,662.686,1679,676.756,"now look we've had the laws out there for a long time to be able to fight back what's been missing is courage courage in washington to take on the giants that's part of the corruption in this system","now look we've had the laws out there for a long time to be able to fight back what's been missing is courage courage in washington take on the giants that's part of the corruption in this system",0.9923664122137404
"WARREN","It has been far too long that the monopolies have been making the campaign contributions have been funding the super PACs have been out there making sure that their influence is heard and felt in every single decision that gets made in Washington. Where I want to start this is I want to return government to the people and that means calling out the names of the monopolists and saying I have the courage to go after them.",0.0,0.854,0.146,0.875,1680,677.166,1757,703.316,"it has been far too long that the monopolies have been making the campaign contributions have been funding the super pacs have been out there making sure that their influence is heard and felt in every single decision that gets made in washington where i want to start this is i want to return government to the people and that means calling out the names of the monopolists and saying i have the courage to go after them","it has been far too long that the monopolies have been making the campaign contributions have been funding the super pacs have been out there making sure that their influence is heard and felt in every single decision that gets made in washington where i want to start this is i want to return government to the people and that means calling out the names of the monopolise and saying i have the courage to go after them",0.9964328180737217
"GUTHRIE","Thank you.",0.0,0.286,0.714,0.3612,1758,703.536,1759,704.016,"thank you","thank you",1.0
"HOLT","Secretary Castro the next question is for you. Democrats have been talking about the pay gap for decades. What would you do to ensure that women are paid fairly in this country?",0.041,0.882,0.076,0.296,1760,704.606,1792,716.636,"secretary castro the next question is for you democrats have been talking about the pay gap for decades what would you do to ensure that women are paid fairly in this country","theo secretary castro my next question is for you democrats have been talking about the pay gap for decades what would you do to ensure that women are paid fairly in this country",0.9715909090909091
"CASTRO","Thank you very much for that question Lester. You know I grew up with a mother who raised my brother Joaquin and me as a single parent. And I know what it's like to struggle. I know what it's like to rent a home and to worry about whether you're going to be able to pay the rent at the first of the month and to see a mom work very very hard and know that moms across this country are getting paid less simply because they're women.",0.095,0.822,0.083,-0.0184,1793,717.306,1879,742.216,"thank you very much for that question lester you know i grew up with a mother who raised my brother joaquin and me as a single parent and i know what it's like to struggle i know what it's like to rent a home and to worry about whether you're going to be able to pay the rent at the first of the month and to see a mom work very very hard and know that moms across this country are getting paid less simply because they're women","thank you very much for that question lester you know i grew up with a mother who raised my brother walking in me as a single parent and i know what it's like to struggle i know what it's like to rent a home and to worry about whether you're gonna be able to pay the rent at the first of the month and to see a mom worked very very hard and know that mom's across this country you're getting paid less simply because they're women",0.9696969696969697
"CASTRO","I would do several things starting with something we should have done a long time ago which is to pass the Equal Rights Amendment finally in this country.",0.0,1.0,0.0,0.0,1880,742.606,1903,748.956,"i would do several things starting with something we should have done a long time ago which is to pass the equal rights amendment finally in this country","i would do several things starting with something we should've done a long time ago which is to pass the equal rights amendment finally",0.9305555555555556
"CASTRO","And also pursue legislation so that women are paid equal pay for equal work in this country. It's past time that we did that.",0.057,0.943,0.0,-0.1027,1905,751.046,1927,759.212,"and also pursue legislation so that women are paid equal pay for equal work in this country it's past time that we did that","also for legislation so that women are paid equal pay for equal work in this country it's past time that we did that",0.9539748953974896
"CASTRO","And you know we have to do this. If we want to be the most prosperous nation in the 21st century we need to make sure that women are paid what they deserve.",0.0,0.811,0.189,0.7178,1934,761.982,1967,771.142,"and you know we have to do this if we want to be the most prosperous nation in the 21st century we need to make sure that women are paid what they deserve","we want to be the most prosperous nation in the 21st century we need to make sure that women are paid what they deserve all right thank you said put the same question to",0.7368421052631579
"HOLT","All right thank you. I want to put the same question to Congresswoman Gabbard. Your thoughts on equal pay?",0.069,0.743,0.188,0.34,1977,775.002,1997,781.572,"all right thank you i want to put the same question to congresswoman gabbard your thoughts on equal pay","all let's recognize the situation we're in that the american people deserve a president well put your interests ahead of the",0.44052863436123346
"GABBARD","First of all let's recognize the situation we're in that the American people deserve a president who will put your interests ahead of the rich and powerful. That's not what we have right now.",0.0,0.781,0.219,0.8126,2011,785.352,2030,791.252,"first of all let's recognize the situation we're in that the american people deserve a president who will put your interests ahead of the rich and powerful that's not what we have right now","the army national guard after the al qaeda terror attacks on 9 11 so i could go after those who",0.3873239436619718
"GABBARD","I enlisted in the Army National Guard after the Al Qaida terror attacks on 9/11 so I could go after those who had attacked us on that day. I still serve as a major. I served over 16 years deployed twice to the Middle East and in Congress served on the Foreign Affairs and Armed Services Affairs for over six years.",0.149,0.851,0.0,-0.8519,2037,792.462,2087,808.142,"i enlisted in the army national guard after the al qaida terror attacks on 9/11 so i could go after those who had attacked us on that day i still serve as a major i served over 16 years deployed twice to the middle east and in congress served on the foreign affairs and armed services affairs for over six years","i still serve as a major served over 16 years deployed twice to the middle east and in congress served on the foreign affairs and armed services committees for over six years i know the importance of our national security as well as the terribly high cost of war and for",0.5714285714285714
"GABBARD","I know the importance of our national security as well as the terribly high cost of war. And for too long our leaders have failed us taking us from one regime change war to the next leading us into a new cold war and arms race costing us trillions of our hard-earned taxpayer dollars and countless lives.",0.256,0.647,0.096,-0.9274,2090,808.612,2140,825.772,"i know the importance of our national security as well as the terribly high cost of war and for too long our leaders have failed us taking us from one regime change war to the next leading us into a new cold war and arms race costing us trillions of our hard-earned taxpayer dollars and countless lives","our leaders have failed us taking us from one regime change war to the next leading us into a new cold war in arms race costing us trillions of our hard earned taxpayer dollars and countless lives this insanity must and as president i will take your hard earned taxpayer dollars",0.6689655172413793
"GABBARD","This insanity must end. As president I will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs things like health care a green economy good-paying jobs protecting our environment and so much more.",0.087,0.778,0.134,0.25,2147,828.402,2165,836.322,"this insanity must end as president i will take your hard-earned taxpayer dollars and instead invest those dollars into serving your needs things like health care a green economy good-paying jobs protecting our environment and so much more","your needs things like health care a green economy good paying jobs protecting our environment and so much more",0.6285714285714286
"DIAZ-BALART","Mayor De Blasio good evening. You're the mayor of the biggest city in the United States but it's also one of the cities in the country with the greatest gap between the wealthy and the poor. How would you address income inequality?",0.077,0.685,0.239,0.8294,2166,838.142,2204,853.392,"mayor de blasio good evening you're the mayor of the biggest city in the united states but it's also one of the cities in the country with the greatest gap between the wealthy and the poor how would you address income inequality","mayor theo you're the mayor of the biggest city in the united states but it's also one of the cities in the country with the greatest gap between the wealthy and the poor how would you address income inequality",0.9497716894977168
"DE BLASIO","Well we've been addressing income inequality in New York City by raising wages by raising benefits by putting money back in the hands of working people $15 minimum wage paid sick days pre-K for all things that are making a huge difference in working people's lives.",0.064,0.799,0.136,0.4019,2205,854.012,2250,868.422,"well we've been addressing income inequality in new york city by raising wages by raising benefits by putting money back in the hands of working people $15 minimum wage paid sick days pre-k for all things that are making a huge difference in working people's lives","well we've been dressing income inequality in new york city by raising wages by raising benefits by putting money back in the hands of working people $15 minimum wage paid sick days pre k for all things they're making a huge difference in working people's lives",0.979047619047619
